programa,start_segment,end_segment,pais1,pais2,pais_par
386,11614.06,11622.06,Filipinas,Japão,"('Filipinas', 'Japão')"
386,11643.06,11648.06,Filipinas,Japão,"('Filipinas', 'Japão')"
387,895.32,900.72,Tanzânia,Uganda,"('Tanzânia', 'Uganda')"
387,1403.24,1410.24,Brasil,Rússia,"('Brasil', 'Rússia')"
387,1410.24,1417.24,Emirados Árabes Unidos,Rússia,"('Emirados Árabes Unidos', 'Rússia')"
387,1417.24,1420.24,Emirados Árabes Unidos,Rússia,"('Emirados Árabes Unidos', 'Rússia')"
387,1484.24,1490.24,Alemanha,Rússia,"('Alemanha', 'Rússia')"
387,1496.24,1505.24,Alemanha,Rússia,"('Alemanha', 'Rússia')"
387,1690.24,1698.24,Austrália,Rússia,"('Austrália', 'Rússia')"
387,1698.24,1709.24,Austrália,Rússia,"('Austrália', 'Rússia')"
387,1877.24,1884.24,China,Estados Unidos,"('China', 'Estados Unidos')"
387,1905.24,1912.24,China,Irã,"('China', 'Irã')"
387,2189.24,2203.24,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
387,2314.24,2321.24,França,Palestina,"('França', 'Palestina')"
387,2321.24,2328.24,França,Palestina,"('França', 'Palestina')"
387,2478.24,2494.24,China,Estados Unidos,"('China', 'Estados Unidos')"
387,2780.24,2801.24,Egito,Jordânia,"('Egito', 'Jordânia')"
387,2862.24,2882.24,Egito,Israel,"('Egito', 'Israel')"
387,3245.24,3264.24,França,Turquia,"('França', 'Turquia')"
387,3407.24,3419.24,Belize,Costa Rica,"('Belize', 'Costa Rica')"
387,3407.24,3419.24,Belize,Honduras,"('Belize', 'Honduras')"
387,3407.24,3419.24,Costa Rica,Honduras,"('Costa Rica', 'Honduras')"
387,3470.24,3482.24,Brasil,Costa Rica,"('Brasil', 'Costa Rica')"
387,4563.22,4571.26,Argentina,Brasil,"('Argentina', 'Brasil')"
387,4563.22,4571.26,Argentina,Colômbia,"('Argentina', 'Colômbia')"
387,4563.22,4571.26,Brasil,Colômbia,"('Brasil', 'Colômbia')"
387,4580.1,4588.82,Brasil,Colômbia,"('Brasil', 'Colômbia')"
387,4762.78,4770.06,Argentina,França,"('Argentina', 'França')"
387,5456.26,5465.14,Argentina,Brasil,"('Argentina', 'Brasil')"
387,6351.9,6353.1,Argentina,Brasil,"('Argentina', 'Brasil')"
387,6382.5,6383.9,Argentina,Brasil,"('Argentina', 'Brasil')"
387,6511.1,6518.58,Alemanha,Itália,"('Alemanha', 'Itália')"
387,6744.46,6749.46,Brasil,Uruguai,"('Brasil', 'Uruguai')"
387,6781.46,6787.46,Brasil,Uruguai,"('Brasil', 'Uruguai')"
387,7129.46,7133.46,Bolívia,Uruguai,"('Bolívia', 'Uruguai')"
387,7165.46,7172.46,Bolívia,Brasil,"('Bolívia', 'Brasil')"
387,7165.46,7172.46,Bolívia,Paraguai,"('Bolívia', 'Paraguai')"
387,7165.46,7172.46,Bolívia,Uruguai,"('Bolívia', 'Uruguai')"
387,7165.46,7172.46,Brasil,Paraguai,"('Brasil', 'Paraguai')"
387,7165.46,7172.46,Brasil,Uruguai,"('Brasil', 'Uruguai')"
387,7165.46,7172.46,Paraguai,Uruguai,"('Paraguai', 'Uruguai')"
387,7607.46,7613.46,Chile,Peru,"('Chile', 'Peru')"
387,7835.46,7840.46,Brasil,Chile,"('Brasil', 'Chile')"
387,8381.46,8391.46,Canadá,Estados Unidos,"('Canadá', 'Estados Unidos')"
387,8381.46,8391.46,Canadá,México,"('Canadá', 'México')"
387,8381.46,8391.46,Estados Unidos,México,"('Estados Unidos', 'México')"
387,9719.46,9723.46,Canadá,Estados Unidos,"('Canadá', 'Estados Unidos')"
387,11511.46,11516.46,Estados Unidos,Taiwan,"('Estados Unidos', 'Taiwan')"
387,11973.86,11978.7,China,Estados Unidos,"('China', 'Estados Unidos')"
387,12693.62,12699.22,Espanha,França,"('Espanha', 'França')"
387,12726.18,12733.78,Guiné,Guiné-Bissau,"('Guiné', 'Guiné-Bissau')"
387,12902.7,12909.22,Bangladesh,Paquistão,"('Bangladesh', 'Paquistão')"
387,14110.66,14118.58,Brasil,México,"('Brasil', 'México')"
387,14110.66,14118.58,Brasil,Vanuatu,"('Brasil', 'Vanuatu')"
387,14110.66,14118.58,México,Vanuatu,"('México', 'Vanuatu')"
387,14413.1,14418.58,Estados Unidos,México,"('Estados Unidos', 'México')"
387,14492.66,14499.66,Estados Unidos,México,"('Estados Unidos', 'México')"
387,14499.66,14506.66,Estados Unidos,México,"('Estados Unidos', 'México')"
387,14507.66,14512.66,Estados Unidos,México,"('Estados Unidos', 'México')"
387,14512.66,14518.66,Estados Unidos,México,"('Estados Unidos', 'México')"
387,14518.66,14524.66,Estados Unidos,México,"('Estados Unidos', 'México')"
387,14524.66,14528.66,Estados Unidos,México,"('Estados Unidos', 'México')"
388,475.0,483.0,Alemanha,Dinamarca,"('Alemanha', 'Dinamarca')"
388,689.0,699.0,Bangladesh,Paquistão,"('Bangladesh', 'Paquistão')"
388,955.0,965.0,Bangladesh,Emirados Árabes Unidos,"('Bangladesh', 'Emirados Árabes Unidos')"
388,1013.0,1025.0,Estados Unidos,Sudão,"('Estados Unidos', 'Sudão')"
